Gender,Race,MOS_Type,ranklit,sex,appdate,YearsOnJob,YearsOnJob (bins)
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,04/12/2017,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
Male,White,Uniform,Police Officer,Male,10/11/2016,7,5
